#,单词
1,a
2,able
3,about
4,accept
5,accord
6,according to
7,account
8,across
9,act
10,action
11,actually
12,after
13,again
14,against
15,age
16,ago
17,agree
18,aid
19,air
20,all
21,allow
22,almost
23,along
24,already
25,also
26,although
27,always
28,among
29,and
30,announce
31,another
32,answer
33,any
34,anything
35,appear
36,area
37,arm
38,army
39,around
40,art
41,as
42,ask
43,at
44,attack
45,attempt
46,authority
47,available
48,away
49,back
50,bad
51,base
52,based
53,be
54,beat
55,because
56,become
57,before
58,begin
59,believe
60,best
61,better
62,between
63,big
64,billion
65,bit
66,bite
67,black
68,blue
69,body
70,book
71,both
72,boy
73,break
74,bring
75,brother
76,brown
77,build
78,building
79,business
80,but
81,buy
82,by
83,call
84,campaign
85,capital
86,car
87,care
88,carry
89,cent
90,central
91,centre
92,century
93,chance
94,change
95,charge
96,chief
97,child
98,claim
99,class
100,clear
101,club
102,colour
103,come
104,coming
105,committee
106,common
107,community
108,company
109,complete
110,concern
111,condition
112,conference
113,consider
114,continue
115,control
116,cost
117,could
118,council
119,country
120,course
121,cover
122,create
123,cup
124,current
125,cut
126,daughter
127,day
128,deal
129,decide
130,decision
131,demand
132,department
133,describe
134,design
135,develop
136,development
137,die
138,different
139,difficult
140,direct
141,director
142,dollar
143,door
144,draw
145,drive
146,drug
147,during
148,each
149,early
150,easy
151,economic
152,economy
153,effect
154,effort
155,eight
156,eighteen
157,eighty
158,either
159,election
160,eleven
161,else
162,end
163,enough
164,event
165,ever
166,every
167,everything
168,example
169,expect
170,experience
171,eye
172,face
173,fact
174,fail
175,fall
176,family
177,far
178,father
179,fear
180,feel
181,few
182,fifteen
183,fifty
184,fight
185,figure
186,film
187,final
188,financial
189,find
190,firm
191,first
192,five
193,fly
194,follow
195,food
196,foot
197,for
198,force
199,foreign
200,form
201,former
202,forty
203,four
204,fourteen
205,free
206,friend
207,from
208,front
209,full
210,fund
211,further
212,future
213,game
214,general
215,get
216,girl
217,give
218,go
219,going
220,good
221,got
222,government
223,great
224,green
225,ground
226,group
227,grow
228,half
229,happen
230,hard
231,have
232,head
233,health
234,hear
235,help
236,her
237,here
238,herself
239,high
240,him
241,himself
242,his
243,history
244,hit
245,hold
246,hope
247,hospital
248,host
249,hour
250,house
251,how
252,however
253,human
254,hundred
255,husband
256,I
257,idea
258,if
259,important
260,include
261,including
262,increase
263,independent
264,industry
265,information
266,interest
267,international
268,into
269,issue
270,itself
271,job
272,join
273,keep
274,kill
275,know
276,labour
277,land
278,large
279,last
280,late
281,later
282,laugh
283,law
284,leader
285,learn
286,least
287,leave
288,left
289,less
290,let
291,letter
292,level
293,life
294,like
295,likely
296,line
297,list
298,little
299,local
300,look
301,lose
302,lot
303,love
304,low
305,main
306,major
307,make
308,man
309,many
310,market
311,match
312,matter
313,meet
314,meeting
315,member
316,middle
317,military
318,million
319,minister
320,moment
321,money
322,month
323,more
324,morning
325,most
326,mother
327,move
328,much
329,music
330,must
331,my
332,name
333,nation
334,national
335,near
336,need
337,never
338,new
339,news
340,next
341,night
342,nine
343,nineteen
344,ninety
345,not
346,nothing
347,now
348,number
349,of
350,off
351,offer
352,office
353,officer
354,official
355,often
356,oil
357,old
358,on
359,once
360,one
361,only
362,open
363,operate
364,operation
365,or
366,other
367,our
368,out
369,outside
370,over
371,own
372,page
373,paper
374,parent
375,party
376,past
377,pay
378,peace
379,people
380,per
381,perhaps
382,person
383,photo
384,plan
385,plant
386,play
387,player
388,point
389,police
390,policy
391,political
392,position
393,possible
394,pound
395,power
396,president
397,press
398,pressure
399,price
400,Prime Minister
401,probably
402,problem
403,process
404,produce
405,product
406,programme
407,provide
408,public
409,put
410,question
411,quick
412,quite
413,race
414,radio
415,raise
416,rate
417,rather
418,reach
419,read
420,real
421,really
422,reason
423,receive
424,recent
425,record
426,red
427,release
428,remain
429,remember
430,report
431,research
432,result
433,return
434,rise
435,road
436,role
437,room
438,rule
439,run
440,sale
441,same
442,say
443,school
444,season
445,secretary
446,security
447,see
448,seem
449,sell
450,send
451,sense
452,serious
453,service
454,set
455,seven
456,seventeen
457,seventy
458,several
459,share
460,should
461,show
462,side
463,sign
464,since
465,single
466,sister
467,sit
468,situation
469,six
470,sixteen
471,sixty
472,small
473,so
474,social
475,society
476,some
477,something
478,son
479,soon
480,sort
481,speak
482,special
483,spend
484,staff
485,stage
486,stand
487,star
488,start
489,state
490,stay
491,step
492,stop
493,story
494,street
495,strong
496,student
497,study
498,such
499,suggest
500,support
501,sure
502,system
503,take
504,talk
505,tax
506,team
507,tell
508,ten
509,term
510,test
511,than
512,thank
513,that
514,the
515,their
516,them
517,themselves
518,then
519,there
520,these
521,they
522,thing
523,think
524,thirteen
525,thirty
526,this
527,those
528,though
529,thought
530,thousand
531,three
532,through
533,time
534,to
535,today
536,together
537,too
538,top
539,total
540,towards
541,town
542,trade
543,try
544,turn
545,twelve
546,twenty
547,twice
548,two
549,under
550,understand
551,union
552,university
553,until
554,value
555,very
556,view
557,visit
558,vote
559,wait
560,walk
561,wall
562,want
563,war
564,water
565,way
566,we
567,week
568,what
569,when
570,where
571,whether
572,which
573,white
574,who
575,whole
576,whose
577,why
578,wide
579,wife
580,win
581,with
582,within
583,without
584,woman
585,word
586,work
587,worker
588,working
589,world
590,would
591,write
592,yeah
593,year
594,yellow
595,yes
596,yesterday
597,yet
598,you
599,young
600,your
601,zero
